year,city,country,city_temp,city_7_MA,global_temp,global_7_MA
1881,Lima,Peru,15.75,,8.27,
1882,Lima,Peru,15.88,,8.13,
1883,Lima,Peru,16.18,,7.98,
1884,Lima,Peru,16.14,,7.77,
1885,Lima,Peru,,,7.92,
1886,Lima,Peru,15.81,,7.95,
1887,Lima,Peru,,15.952,7.91,7.99
1888,Lima,Peru,,16.0025,8.09,7.964285714
1889,Lima,Peru,,16.04333333,8.32,7.991428571
1890,Lima,Peru,,15.975,7.97,7.99
1891,Lima,Peru,16.05,15.93,8.02,8.025714286
1892,Lima,Peru,16.06,15.97333333,8.07,8.047142857
1893,Lima,Peru,15.98,16.03,8.06,8.062857143
1894,Lima,Peru,16.22,16.0775,8.16,8.098571429
1895,Lima,Peru,16.35,16.132,8.15,8.107142857
1896,Lima,Peru,16.53,16.19833333,8.21,8.091428571
1897,Lima,Peru,16.4,16.22714286,8.29,8.137142857
1898,Lima,Peru,15.49,16.14714286,8.18,8.16
1899,Lima,Peru,16.31,16.18285714,8.4,8.207142857
1900,Lima,Peru,16.75,16.29285714,8.5,8.27
1901,Lima,Peru,16.46,16.32714286,8.54,8.324285714
1902,Lima,Peru,16.49,16.34714286,8.3,8.345714286
1903,Lima,Peru,16.26,16.30857143,8.22,8.347142857
1904,Lima,Peru,16.31,16.29571429,8.09,8.318571429
1905,Lima,Peru,16.76,16.47714286,8.23,8.325714286
1906,Lima,Peru,16.4,16.49,8.38,8.322857143
1907,Lima,Peru,16.19,16.41,7.95,8.244285714
1908,Lima,Peru,16.14,16.36428571,8.19,8.194285714
1909,Lima,Peru,16.05,16.30142857,8.18,8.177142857
1910,Lima,Peru,15.95,16.25714286,8.22,8.177142857
1911,Lima,Peru,16.38,16.26714286,8.18,8.19
1912,Lima,Peru,16.49,16.22857143,8.17,8.181428571
1913,Lima,Peru,16.63,16.26142857,8.3,8.17
1914,Lima,Peru,16.49,16.30428571,8.59,8.261428571
1915,Lima,Peru,16.66,16.37857143,8.59,8.318571429
1916,Lima,Peru,15.82,16.34571429,8.23,8.325714286
1917,Lima,Peru,16.34,16.40142857,8.02,8.297142857
1918,Lima,Peru,16.74,16.45285714,8.13,8.29
1919,Lima,Peru,17.08,16.53714286,8.38,8.32
1920,Lima,Peru,16.48,16.51571429,8.36,8.328571429
1921,Lima,Peru,16,16.44571429,8.57,8.325714286
1922,Lima,Peru,16.51,16.42428571,8.41,8.3
1923,Lima,Peru,16.5,16.52142857,8.42,8.327142857
1924,Lima,Peru,16.38,16.52714286,8.51,8.397142857
1925,Lima,Peru,16.52,16.49571429,8.53,8.454285714
1926,Lima,Peru,16.89,16.46857143,8.73,8.504285714
1927,Lima,Peru,16.65,16.49285714,8.52,8.527142857
1928,Lima,Peru,16.76,16.60142857,8.63,8.535714286
1929,Lima,Peru,16.19,16.55571429,8.24,8.511428571
1930,Lima,Peru,16.98,16.62428571,8.63,8.541428571
1931,Lima,Peru,16.63,16.66,8.72,8.571428571
1932,Lima,Peru,16.78,16.69714286,8.71,8.597142857
1933,Lima,Peru,16.2,16.59857143,8.34,8.541428571
1934,Lima,Peru,16.46,16.57142857,8.63,8.557142857
1935,Lima,Peru,16.74,16.56857143,8.52,8.541428571
1936,Lima,Peru,16.79,16.65428571,8.55,8.585714286
1937,Lima,Peru,16.55,16.59285714,8.7,8.595714286
1938,Lima,Peru,16.32,16.54857143,8.86,8.615714286
1939,Lima,Peru,17.73,16.68428571,8.76,8.622857143
1940,Lima,Peru,17.2,16.82714286,8.76,8.682857143
1941,Lima,Peru,17.47,16.97142857,8.77,8.702857143
1942,Lima,Peru,16.29,16.90714286,8.73,8.732857143
1943,Lima,Peru,17.17,16.96142857,8.76,8.762857143
1944,Lima,Peru,16.95,17.01857143,8.85,8.784285714
1945,Lima,Peru,16.96,17.11,8.58,8.744285714
1946,Lima,Peru,16.52,16.93714286,8.68,8.732857143
1947,Lima,Peru,16.82,16.88285714,8.8,8.738571429
1948,Lima,Peru,16.96,16.81,8.75,8.735714286
1949,Lima,Peru,16.74,16.87428571,8.59,8.715714286
1950,Lima,Peru,16.11,16.72285714,8.37,8.66
1951,Lima,Peru,17.33,16.77714286,8.63,8.628571429
1952,Lima,Peru,16.75,16.74714286,8.64,8.637142857
1953,Lima,Peru,17.45,16.88,8.87,8.664285714
1954,Lima,Peru,16.01,16.76428571,8.56,8.63
1955,Lima,Peru,16.24,16.66142857,8.63,8.612857143
1956,Lima,Peru,15.97,16.55142857,8.28,8.568571429
1957,Lima,Peru,17.98,16.81857143,8.73,8.62
1958,Lima,Peru,17.32,16.81714286,8.77,8.64
1959,Lima,Peru,16.87,16.83428571,8.73,8.652857143
1960,Lima,Peru,16.7,16.72714286,8.58,8.611428571
1961,Lima,Peru,16.8,16.84,8.8,8.645714286
1962,Lima,Peru,16.74,16.91142857,8.75,8.662857143
1963,Lima,Peru,16.95,17.05142857,8.86,8.745714286
1964,Lima,Peru,16.29,16.81,8.41,8.7
1965,Lima,Peru,17.59,16.84857143,8.53,8.665714286
1966,Lima,Peru,16.79,16.83714286,8.6,8.647142857
1967,Lima,Peru,16.35,16.78714286,8.7,8.664285714
1968,Lima,Peru,16.36,16.72428571,8.52,8.624285714
1969,Lima,Peru,17.46,16.82714286,8.6,8.602857143
1970,Lima,Peru,16.45,16.75571429,8.7,8.58
1971,Lima,Peru,16.31,16.75857143,8.6,8.607142857
1972,Lima,Peru,18.37,16.87,8.5,8.602857143
1973,Lima,Peru,16.82,16.87428571,8.95,8.652857143
1974,Lima,Peru,16.55,16.90285714,8.47,8.62
1975,Lima,Peru,16.39,16.90714286,8.74,8.651428571
1976,Lima,Peru,17.24,16.87571429,8.35,8.615714286
1977,Lima,Peru,17.06,16.96285714,8.85,8.637142857
1978,Lima,Peru,16.65,17.01142857,8.69,8.65
1979,Lima,Peru,16.99,16.81428571,8.73,8.682857143
1980,Lima,Peru,17.03,16.84428571,8.98,8.687142857
1981,Lima,Peru,16.71,16.86714286,9.17,8.787142857
1982,Lima,Peru,17.21,16.98428571,8.64,8.772857143
1983,Lima,Peru,18.76,17.20142857,9.03,8.87
1984,Lima,Peru,17.02,17.19571429,8.69,8.847142857
1985,Lima,Peru,16.68,17.2,8.66,8.842857143
1986,Lima,Peru,16.77,17.16857143,8.83,8.857142857
1987,Lima,Peru,18.01,17.30857143,8.99,8.858571429
1988,Lima,Peru,16.58,17.29,9.2,8.862857143
1989,Lima,Peru,16.66,17.21142857,8.92,8.902857143
1990,Lima,Peru,16.84,16.93714286,9.23,8.931428571
1991,Lima,Peru,17.15,16.95571429,9.18,9.001428571
1992,Lima,Peru,17.96,17.13857143,8.84,9.027142857
1993,Lima,Peru,17.56,17.25142857,8.87,9.032857143
1994,Lima,Peru,17.31,17.15142857,9.04,9.04
1995,Lima,Peru,17.26,17.24857143,9.35,9.061428571
1996,Lima,Peru,16.45,17.21857143,9.04,9.078571429
1997,Lima,Peru,18.62,17.47285714,9.2,9.074285714
1998,Lima,Peru,18.13,17.61285714,9.52,9.122857143
1999,Lima,Peru,16.65,17.42571429,9.29,9.187142857
2000,Lima,Peru,17.02,17.34857143,9.2,9.234285714
2001,Lima,Peru,16.95,17.29714286,9.41,9.287142857
2002,Lima,Peru,17.44,17.32285714,9.57,9.318571429
2003,Lima,Peru,17.36,17.45285714,9.53,9.388571429
2004,Lima,Peru,17.29,17.26285714,9.32,9.405714286
2005,Lima,Peru,17.02,17.10428571,9.7,9.431428571
2006,Lima,Peru,17.61,17.24142857,9.53,9.465714286
2007,Lima,Peru,16.68,17.19285714,9.73,9.541428571
2008,Lima,Peru,17.34,17.24857143,9.43,9.544285714
2009,Lima,Peru,17.4,17.24285714,9.51,9.535714286
2010,Lima,Peru,16.97,17.18714286,9.7,9.56
2011,Lima,Peru,17.03,17.15,9.52,9.588571429
2012,Lima,Peru,17.68,17.24428571,9.51,9.561428571
2013,Lima,Peru,17,17.15714286,9.61,9.572857143
